User ID   | Recommended Movie Title
-----------------------------------
0         | Titanic (1997)
1         | Schindler's List (1993)
2         | Titanic (1997)
3         | Titanic (1997)
4         | Titanic (1997)
5         | Titanic (1997)
6         | Titanic (1997)
7         | Titanic (1997)
8         | Titanic (1997)
9         | Titanic (1997)
10        | Titanic (1997)
11        | Titanic (1997)
12        | Close Shave, A (1995)
13        | Good Will Hunting (1997)
14        | Titanic (1997)
15        | Titanic (1997)
16        | Titanic (1997)
17        | Titanic (1997)
18        | L.A. Confidential (1997)
19        | Titanic (1997)
20        | Titanic (1997)
21        | Titanic (1997)
22        | Titanic (1997)
23        | Titanic (1997)
24        | Titanic (1997)
25        | Good Will Hunting (1997)
26        | Titanic (1997)
27        | Titanic (1997)
28        | Titanic (1997)
29        | L.A. Confidential (1997)
30        | Titanic (1997)
31        | L.A. Confidential (1997)
32        | L.A. Confidential (1997)
33        | Titanic (1997)
34        | Titanic (1997)
35        | Titanic (1997)
36        | Titanic (1997)
37        | L.A. Confidential (1997)
38        | Star Wars (1977)
39        | Titanic (1997)
40        | L.A. Confidential (1997)
41        | Titanic (1997)
42        | Casablanca (1942)
43        | L.A. Confidential (1997)
44        | Titanic (1997)
45        | L.A. Confidential (1997)
46        | Titanic (1997)
47        | Titanic (1997)
48        | Good Will Hunting (1997)
49        | Titanic (1997)
50        | Titanic (1997)
51        | Titanic (1997)
52        | Titanic (1997)
53        | Full Monty, The (1997)
54        | Titanic (1997)
55        | Titanic (1997)
56        | Titanic (1997)
57        | L.A. Confidential (1997)
58        | L.A. Confidential (1997)
59        | Titanic (1997)
60        | Titanic (1997)
61        | Titanic (1997)
62        | Titanic (1997)
63        | L.A. Confidential (1997)
64        | Titanic (1997)
65        | Titanic (1997)
66        | Titanic (1997)
67        | Titanic (1997)
68        | Titanic (1997)
69        | L.A. Confidential (1997)
70        | Titanic (1997)
71        | Titanic (1997)
72        | Titanic (1997)
73        | Star Wars (1977)
74        | Titanic (1997)
75        | Titanic (1997)
76        | Titanic (1997)
77        | Titanic (1997)
78        | L.A. Confidential (1997)
79        | Titanic (1997)
80        | Titanic (1997)
81        | Titanic (1997)
82        | Titanic (1997)
83        | Titanic (1997)
84        | L.A. Confidential (1997)
85        | Titanic (1997)
86        | Titanic (1997)
87        | Good Will Hunting (1997)
88        | Titanic (1997)
89        | Star Wars (1977)
90        | L.A. Confidential (1997)
91        | L.A. Confidential (1997)
92        | Titanic (1997)
93        | Good Will Hunting (1997)
94        | Titanic (1997)
95        | Titanic (1997)
96        | Titanic (1997)
97        | Titanic (1997)
98        | L.A. Confidential (1997)
99        | Star Wars (1977)
100       | Titanic (1997)
101       | Schindler's List (1993)
102       | Titanic (1997)
103       | Schindler's List (1993)
104       | Star Wars (1977)
105       | L.A. Confidential (1997)
106       | Good Will Hunting (1997)
107       | Titanic (1997)
108       | Titanic (1997)
109       | L.A. Confidential (1997)
110       | Star Wars (1977)
111       | Star Wars (1977)
112       | Titanic (1997)
113       | Titanic (1997)
114       | Titanic (1997)
115       | Schindler's List (1993)
116       | L.A. Confidential (1997)
117       | Titanic (1997)
118       | L.A. Confidential (1997)
119       | Titanic (1997)
120       | L.A. Confidential (1997)
121       | Titanic (1997)
122       | Titanic (1997)
123       | Titanic (1997)
124       | Titanic (1997)
125       | Star Wars (1977)
126       | Titanic (1997)
127       | Titanic (1997)
128       | Star Wars (1977)
